iter	RMSE
466	0.3915006786
467	0.3914208689
468	0.3913318409
469	0.3912250664
470	0.3909511139
471	0.3905938659
472	0.3905650149
473	0.3903824833
474	0.3901449785
475	0.3900315805
476	0.3897381926
477	0.3896762698
478	0.3896112236
479	0.3895735262
480	0.3895280104
481	0.3894919113
482	0.3891250107
483	0.3890073536
484	0.3886878726
485	0.3885401983
486	0.3881913448
487	0.3879742286
488	0.3878128659
489	0.3877399907
490	0.3874482939
491	0.3873485441
492	0.3868715173
493	0.3866478194
494	0.3865515145
495	0.386530336
496	0.3863874844
497	0.3861646322
498	0.386045065
499	0.3857714882
500	0.3856520168
501	0.385480182
502	0.3853827142
503	0.3851322809
504	0.3850363499
505	0.3847992728
506	0.384600377
507	0.3845064959
508	0.3842732414
509	0.3841740773
510	0.3840826346
511	0.3840277069
512	0.383878379
513	0.3836067574
514	0.3832856013
515	0.3832470429
516	0.3831569918
517	0.3829137302
518	0.3828759514
519	0.3828251154
520	0.3828022559
521	0.3827087511
522	0.3824628505
523	0.3822328999
524	0.3820505811
525	0.3819215157
526	0.3817710643
527	0.3817406471
528	0.3816689313
529	0.3814436424
530	0.3814098586
531	0.3812939028
532	0.3811381191
533	0.3811121957
534	0.3810297696
535	0.3807904986
536	0.3806501829
537	0.3805803866
538	0.3801923044
539	0.3800043086
540	0.3799441728
541	0.3798753313
542	0.3797547683
543	0.3797013444
544	0.3796010463
545	0.3793476408
546	0.3793062483
547	0.3790029274
548	0.3789122503
549	0.3789089884
550	0.3788498065
551	0.3787679757
552	0.3787677743
553	0.3786799421
554	0.3784734763
555	0.378274199
556	0.3782740175
557	0.3781372674
558	0.377995442
559	0.3779479667
560	0.377853301
561	0.3778307263
562	0.3777469984
563	0.3776048851
564	0.3772776696
565	0.3772039321
566	0.3771139553
567	0.3771137935
568	0.3770591253
569	0.3769656329
570	0.376661602
571	0.3765660659
572	0.3763563524
573	0.3760875749
574	0.3760213752
575	0.3757900004
576	0.375626308
577	0.3755648009
578	0.3755476551
579	0.375250852
580	0.3751323212
581	0.3750780762
582	0.3748006469
583	0.3747378641
584	0.3746592283
585	0.3745973383
586	0.3744948583
587	0.3741968124
588	0.3740446816
589	0.3739866272
590	0.3739865456
591	0.3738589002
592	0.3737077956
593	0.3737077548
594	0.373556303
595	0.3735488483
596	0.373374488
597	0.3731946288
598	0.372870418
599	0.3728703771
